Description,Category
An implementation of ORDPATH encoding. Microsoft invented ORDPATH and used it in SQL server. This independent implementation was thoroughly coded to exhibit the top performance.An implementation of ORDPATH encoding. Microsoft invented ORDPATH and used it in SQL server. This independent implementation was thoroughly coded to exhibit the top performance.,"Categories
XML"
"This project uses a few simple scripts to convert data grabbed from RedButton download (rb-download) into XMLTV format that MythTV uses for program guide listings.

Code repo moved to github.
https://github.com/solorvox/mheg2xmltvThis project uses a few simple scripts to convert data grabbed from RedButton download (rb-download) into XMLTV format that MythTV uses for program guide listings.

Code repo moved to github.
https://github.com/solorvox/mheg2xmltv","Categories
Data Formats"
"Console application for extracting parts of .swf (Flash) files. The application exports pictures from .swf content to single files of appropriate type. Multiplatform, Written in C++.Console application for extracting parts of .swf (Flash) files. The application exports pictures from .swf content to single files of appropriate type. Multiplatform, Written in C++.","Categories
Data Formats"
"Synder is an Atom/RSS/SearchSuggestion/OPML processing framework
It is Optimized For Android, but works with Java SE/EE.
Synder has a small-footprint, low memory consumption.
The only dependency for parsing is a SAX2 implementation.Synder is an Atom/RSS/SearchSuggestion/OPML processing framework
It is Optimized For Android, but works with Java SE/EE.
Synder has a small-footprint, low memory consumption.
The only dependency for parsing is a SAX2 implementation.","Categories
RSS, RSS Feed Readers, Libraries"
EMET is an image metadata extraction tool intended to facilitate the management and preservation of digital images and their incorporation into external databases and applications. EMET was created by ARTstor through funding from NDIIPP.EMET is an image metadata extraction tool intended to facilitate the management and preservation of digital images and their incorporation into external databases and applications. EMET was created by ARTstor through funding from NDIIPP.,"Categories
CSV, Digital Preservation"
"RuDolFWSgui is graphical application that lets you add, modify, remove and manage ontologies in a remote Sesame repository server (http://www.openrdf.org) using a remote RuDolFWS server (visit http://sourceforge.net/projects/rudolfws/ ).RuDolFWSgui is graphical application that lets you add, modify, remove and manage ontologies in a remote Sesame repository server (http://www.openrdf.org) using a remote RuDolFWS server (visit http://sourceforge.net/projects/rudolfws/ ).","Categories
Semantic Web"
A powerful python module that lets you output HTML code from within a python script in a very efficient and convenient fashion. Code your web-page like a GUI! Create tags and modify their attributes at anytime during your script. http://pyh/googlecodA powerful python module that lets you output HTML code from within a python script in a very efficient and convenient fashion. Code your web-page like a GUI! Create tags and modify their attributes at anytime during your script. http://pyh/googlecod,"Categories
HTML/XHTML, CGI Scripts"
"HIEOS is an open source implementation of, primarily server-side, Integrating the Healthcare Enterprise (IHE) Integration Profiles including Cross Enterprise Document Sharing (XDS.b) and Cross Community Access (XCA) integration profiles.HIEOS is an open source implementation of, primarily server-side, Integrating the Healthcare Enterprise (IHE) Integration Profiles including Cross Enterprise Document Sharing (XDS.b) and Cross Community Access (XCA) integration profiles.","Categories
SOAP, Web Services"
"RSS reader, multimedia manager and TV series managerRSS reader, multimedia manager and TV series manager","Categories
RSS, BitTorrent, Video"
"The goal of the OSM2PostGIS project is to develop an OpenStreetMap data processor that can import any amount of .osm XML data into a PostGIS database, and produce evaluated navigation network topologies to support routing.The goal of the OSM2PostGIS project is to develop an OpenStreetMap data processor that can import any amount of .osm XML data into a PostGIS database, and produce evaluated navigation network topologies to support routing.","Categories
XML, GIS"
"Aria2Web is a PHP- and Javascript-based application that allows you to control the excellent and lightweight ""aria2"" over the web. That way you can use it as a download manager.Aria2Web is a PHP- and Javascript-based application that allows you to control the excellent and lightweight ""aria2"" over the web. That way you can use it as a download manager.","Categories
XML-RPC, BitTorrent, AJAX, Download Managers"
"PHP5-Classes, that creates/parses the german DTAUS-format for banks. Including execution date, long receiver and sender-names and up to 15 references.PHP5-Classes, that creates/parses the german DTAUS-format for banks. Including execution date, long receiver and sender-names and up to 15 references.","Categories
Data Formats, Financial"
"NOTE: This project is now on Github. Please go to https://github.com/scaryclam/python-webdav

A WebDAV client library for python. The purpose of this project is to make a python WebDAV client library that is easy and convenient to use, while remaining flexible enough for developers who may want a finer grain of control.


UPDATE: The test suite passes using Python 3.1 so we will now be supporting Python3 issues. The library will try to continue to work on both Python 2 and Python 3 until such a time that we find something that is not backwards compatible between the Python releases.NOTE: This project is now on Github. Please go to https://github.com/scaryclam/python-webdav

A WebDAV client library for python. The purpose of this project is to make a python WebDAV client library that is easy and convenient to use, while remaining flexible enough for developers who may want a finer grain of control.


UPDATE: The test suite passes using Python 3.1 so we will now be supporting Python3 issues. The library will try to continue to work on both Python 2 and Python 3 until such a time that we find something that is not backwards compatible between the Python releases.","Categories
WWW/HTTP, Web Services, Libraries"
Free open source URL shortener that uses http://theeasyapi.com to access Google Safe Browsing and geoIP services for free.Free open source URL shortener that uses http://theeasyapi.com to access Google Safe Browsing and geoIP services for free.,"Categories
Search Engines, Web Services"
Converts a toc generated by cdrdao (or similar) to a .cue as known from tools like EAC. Works only for CD_DA toc.Converts a toc generated by cdrdao (or similar) to a .cue as known from tools like EAC. Works only for CD_DA toc.,"Categories
Data Formats, Audio Conversion, CD Audio"
Just a contrib of headers made via an XML to source code library xml generation tool I wont claim to maintain it however It is Intended to Aid and or be absorbed by the XML Resume Library folks hopefully It will aid the development of XML Resume further.Just a contrib of headers made via an XML to source code library xml generation tool I wont claim to maintain it however It is Intended to Aid and or be absorbed by the XML Resume Library folks hopefully It will aid the development of XML Resume further.,"Categories
Text Editors, XML, HTML/XHTML"
Code for eMM and eSM (part of the Evolved Packet System Non Access Stratum layer protocols). This implementation partially implements the protocol procedures of 3GPP TS 24.301Code for eMM and eSM (part of the Evolved Packet System Non Access Stratum layer protocols). This implementation partially implements the protocol procedures of 3GPP TS 24.301,"Categories
Data Formats"
A GUI for display packing/unpacking of up to 32-bit wide bit-packed data fields.A GUI for display packing/unpacking of up to 32-bit wide bit-packed data fields.,"Categories
Data Formats"
"Dare-Dare stands for Document Ajax Reader Extension. It's a full javascript online pdf reader. No flash, no closed sources !!!!Dare-Dare stands for Document Ajax Reader Extension. It's a full javascript online pdf reader. No flash, no closed sources !!!!","Categories
Data Formats, Dynamic Content, AJAX, PDF Readers"
Recepção NFE é uma solução de código-fonte em C# 3.5 aberto desenvolvido para atender parcialmente ( XML ) uma obrigação dos contribuintes de terem que enviar a Nota Fiscal Eletrônica para o cliente através de qualquer meio magnético.Recepção NFE é uma solução de código-fonte em C# 3.5 aberto desenvolvido para atender parcialmente ( XML ) uma obrigação dos contribuintes de terem que enviar a Nota Fiscal Eletrônica para o cliente através de qualquer meio magnético.,"Categories
POP3, XML"
"A library of tools and API (C++ and Python) for the storage and processing of large 3D laser scanning (LiDAR, ALS, TLS) datasets using a pulse based spatially indexed file format (SPD) which support for both discrete return and full waveform datasets. Code has moved to https://bitbucket.org/petebunting/spdlibA library of tools and API (C++ and Python) for the storage and processing of large 3D laser scanning (LiDAR, ALS, TLS) datasets using a pulse based spatially indexed file format (SPD) which support for both discrete return and full waveform datasets. Code has moved to https://bitbucket.org/petebunting/spdlib","Categories
Data Formats, GIS"
"sjbjl, as its name says, is a jQuery Based Library, putting together the minimal things you need to improve your web applications user experience in an easy way. It's based on jQuery and its best plugins.sjbjl, as its name says, is a jQuery Based Library, putting together the minimal things you need to improve your web applications user experience in an easy way. It's based on jQuery and its best plugins.","Categories
HTML/XHTML, Dynamic Content, Frameworks"
"OpenCloudAV is the first open source multi-engine based malware analysis service from the network cloud. This project is in alpha release, run only in GNU/Linux, and is mainly developed using Perl SOAP::Lite module. Version 0.2 alpha is available nowOpenCloudAV is the first open source multi-engine based malware analysis service from the network cloud. This project is in alpha release, run only in GNU/Linux, and is mainly developed using Perl SOAP::Lite module. Version 0.2 alpha is available now","Categories
Web Services, Antivirus, Anti-Malware"
